,Unnamed: 0,killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
139,17869,Tommy Gun,82.0,424789.2,326777.9,89,99.0,425497.5,325941.6
138,11660,S686,45.0,631600.1,372018.2,89,49.0,631514.7,372355.9
137,5880,M16A4,41.0,223009.9,395825.1,89,43.0,222907.3,395983.2
135,212,Mini 14,37.0,446881.4,629891.8,89,43.0,446780.2,629792.2
134,238,SCAR-L,41.0,456399.2,627075.1,89,50.0,456790.2,627332.0
136,2355,S686,93.0,420537.8,327171.6,89,96.0,420455.5,326020.8
132,600,M416,40.0,439031.8,638255.5,89,45.0,438029.1,636757.1
131,3891,P1911,30.0,163621.8,277216.7,89,46.0,163189.9,277410.8
130,5863,Punch,1.0,203101.0,281811.9,89,47.0,203036.5,281859.9
129,5888,S686,17.0,216428.8,269493.5,89,44.0,215805.0,270042.0
128,16959,S1897,21.0,624438.4,302787.9,89,43.0,624253.0,302633.3
127,200,Tommy Gun,35.0,431516.6,636198.3,89,48.0,433497.2,635122.9
133,1282,S12K,91.0,684350.9,463181.1,89,93.0,683179.7,462367.6
155,1226,Mini 14,16.0,432386.8,637208.3,90,26.0,432446.9,637462.8
156,6645,Mini 14,41.0,432332.9,637352.6,90,45.0,432563.2,637547.8
157,22115,S12K,22.0,339754.2,167735.7,90,26.0,339591.3,167700.9
158,6671,P1911,25.0,415941.2,480565.3,90,93.0,416537.0,481260.6
161,11640,Mini 14,33.0,625100.8,384890.3,90,49.0,624995.7,384503.6
160,23744,Punch,22.0,567549.4,137494.0,90,15.0,567653.6,137500.9
162,1383,Down and Out,19.0,459471.8,630489.9,90,42.0,459340.8,630234.4
154,2846,P92,80.0,422785.3,324194.8,90,83.0,422418.8,325213.9
159,10604,Punch,15.0,572171.6,385810.3,90,37.0,572275.8,385782.5
153,9205,S1897,23.0,686032.3,460203.1,90,47.0,685890.7,461645.6
147,2311,Mini 14,59.0,686288.7,462164.5,90,95.0,686266.1,462279.5
151,19897,Mini 14,27.0,467604.2,645665.0,90,45.0,467630.9,645385.2
142,17763,S1897,39.0,431503.8,635430.6,90,45.0,431434.9,635961.3
144,12099,Sickle,27.0,216538.1,365407.5,90,9.0,216440.6,365368.5
145,8238,SKS,68.0,432716.6,638926.3,90,88.0,431927.2,639366.3
146,14684,Punch,21.0,449909.9,621500.7,90,19.0,449921.3,621580.3
143,3738,Punch,34.0,435955.9,338184.6,90,48.0,435887.8,338116.8
148,1448,AKM,13.0,445403.1,626903.6,90,29.0,445003.0,624288.8
149,23471,S686,28.0,578489.9,121112.9,90,87.0,577666.7,119209.3
150,24675,S12K,69.0,334821.7,168423.3,90,89.0,336299.7,167698.2
152,1385,SKS,19.0,459427.0,629730.8,90,42.0,459522.3,629514.9
173,15845,Punch,14.0,451107.5,621311.4,91,46.0,451026.6,621333.9
179,6004,M16A4,16.0,422961.7,297680.3,91,27.0,411215.1,298268.5
178,19587,Down and Out,48.0,341704.4,164156.6,91,48.0,341989.0,163598.9
177,18447,AKM,5.0,445924.8,621682.4,91,92.0,447317.7,621818.4
176,18661,S686,25.0,152321.2,315533.4,91,20.0,152267.0,315724.5
175,3583,UMP9,12.0,685689.9,460663.5,91,28.0,686796.7,460447.5
174,1098,AKM,15.0,424307.8,325383.9,91,24.0,424299.8,325578.2
172,3020,S1897,48.0,421290.6,324408.2,91,30.0,422201.6,324511.2
170,9230,Micro UZI,47.0,684013.1,462982.3,91,23.0,684157.4,463008.2
169,13913,Tommy Gun,31.0,422978.8,324217.5,91,49.0,423184.2,324398.0
168,9730,SCAR-L,70.0,420290.3,324382.4,91,86.0,420388.0,324479.4
167,24534,M416,9.0,339051.8,168690.3,91,28.0,339623.6,167632.6
166,14613,Punch,24.0,567885.8,377754.3,91,19.0,567817.6,377842.1
165,8004,UMP9,3.0,624719.6,372628.3,91,81.0,624205.3,372887.2
164,23496,Punch,45.0,619589.1,304380.1,91,10.0,619598.4,304451.7
163,5194,Punch,9.0,368305.6,416662.6,91,19.0,368385.7,416661.6
171,19601,UMP9,34.0,341562.4,170378.5,91,48.0,342122.8,162771.7
189,205,Punch,41.0,464406.3,640754.9,92,49.0,464351.3,640805.6
195,10598,S12K,44.0,685197.0,461999.6,92,50.0,685248.6,461841.7
194,13310,Punch,34.0,622999.0,374680.6,92,27.0,622937.9,374745.3
193,6484,P1911,48.0,463475.9,640684.8,92,34.0,463756.9,640768.4
192,10599,Down and Out,44.0,686502.1,462873.8,92,50.0,686630.3,464056.2
191,185,Down and Out,44.0,466173.1,642295.2,92,49.0,466214.9,641051.5
190,17477,S1897,9.0,463851.6,649108.3,92,44.0,464519.5,648879.6
188,17846,AKM,75.0,423086.9,324661.6,92,97.0,422997.7,324966.0
183,6689,S1897,64.0,446146.6,622474.2,92,92.0,444719.4,622634.9
186,14066,S1897,44.0,382461.5,121716.0,92,93.0,382438.8,121566.7
185,17794,P1911,40.0,435438.1,338243.0,92,98.0,434901.5,338993.0
184,16165,S686,55.0,688395.3,461249.3,92,92.0,688554.6,460735.7
182,5363,S686,12.0,345581.7,397087.8,92,93.0,345878.9,395470.7
181,9744,P1911,63.0,396119.8,278831.9,92,85.0,393275.2,281009.2
180,14848,M16A4,8.0,448463.7,629407.1,92,24.0,449569.7,621023.1
187,1839,S1897,2.0,567013.8,381147.6,92,4.0,566973.8,381078.3
205,7150,M16A4,3.0,621655.4,298075.4,93,27.0,621712.9,296943.7
204,5124,R1895,10.0,421785.8,325162.1,93,25.0,422094.9,325566.3
203,18704,S686,10.0,151552.8,314973.6,93,50.0,151677.4,314998.7
202,18703,Down and Out,10.0,150355.5,315310.5,93,50.0,150699.5,315516.8
